Quote,Author,Tag
"True beauty ends where intellectual expression begins. Intellect is itself a form of exaggeration, and it destroys the harmony of any face.",Oscar Wilde,Dark Academia
"The more sincere a man is, the more purely intellectual the idea will be, because in that case it will not be tainted by his desires, appetites, or prejudices.",Oscar Wilde,Dark Academia
"The harmony between soul and body... And that's saying a lot! We have committed the folly of separating one from the other, and we have invented a vulgar realism and an empty idealism.",Oscar Wilde,Dark Academia
"Poets aren't as scrupulous as you. They know how useful passion is for success. These days, a broken heart gets many editions.",Oscar Wilde,Dark Academia
To influence a person is to give them your own soul.,Oscar Wilde,Dark Academia
The goal of life is self-development.,Oscar Wilde,Dark Academia
"The body sins once, and that's it, because the action is a form of purification.",Oscar Wilde,Dark Academia
"Only the senses can heal the soul, just as only the soul can heal the senses.",Oscar Wilde,Dark Academia
A new hedonism is what our century needs.,Oscar Wilde,Dark Academia
He devoted himself to the serious study of the great aristocratic art of doing nothing.,Oscar Wilde,Dark Academia
"To regain youth, one simply needs to repeat the same crazy things one did back then.",Oscar Wilde,Dark Academia
"Superficial people are those who only love once in their lives. What they call loyalty, their faithfulness, I call lethargy of habit or a lack of imagination.",Oscar Wilde,Dark Academia
"The only artists I've ever met who are personally interesting are bad artists. Good ones exist only in what they do, and are therefore completely uninteresting in who they are. A great poet, a truly great poet, is the least poetic of all creatures. But mediocre ones are fascinating.",Oscar Wilde,Dark Academia
I am always astonishing myself. It is the only thing that makes life worth living.,Oscar Wilde,Dark Academia
"The best amongst the poor are never grateful. They are ungrateful, discontented, disobedient, and rebellious. They are quite right to be so.",Oscar Wilde,Dark Academia
"I know what pleasure is"", cried Dorian. ""It is to adore someone.",Oscar Wilde,Dark Academia
Some little comedy play? Apologize to Oscar Wilde right the fuck now!,Alice Oseman,Dark Academia
The State is to make what is useful. The individual is to make what is beautiful.,Oscar Wilde,Dark Academia
Never love anyone who treats you like you're ordinary. -Oscar Wilde,Amy E. Reichert,Dark Academia
The past is what man should not have been. The present is what man ought not to be. The future is what artists are.,Oscar Wilde,Dark Academia
A coisa mais banal se torna deliciosa se a escondermos,Oscar Wilde,Dark Academia
Le donne ci ispirano il desiderio di far dei capolavori e ci impediscono sempre di eseguirli,Oscar Wilde,Dark Academia
Man should not be ready to show that he can live like a badly-fed animal. He should decline to live like that.,Oscar Wilde,Dark Academia
"Conversation, indeed!"" said the Rocket. ""You have talked the whole time yourself. That is not conversation."" ""Somebody must listen,"" answered the Frog, ""and I like to do all the talking myself. It saves time, and prevents arguments.",Oscar Wilde,Dark Academia
"I have made an important discovery; That alcohol, taken in sufficient quantities, produces all the effects of intoxication.",Oscar Wilde,Dark Academia
"Oh, I can't explain. When I like people immensely I never tell their names to any one. It is like surrendering a part of them. I have grown to love secrecy. It seems to be the one thing that can make modern life mysterious or marvellous to us. The commonest thing is delightful if one only hides it.",Oscar Wilde,Dark Academia
"We know not to fear death. Because even in death, there is life. Death is not the black night, but its white moon. The honeyed egg of rebirth.",Elisabeth Thomas,Dark Academia
The highest or lowest form of criticism is one of the types of autobiography. People who seek mundane meanings in things that have aesthetic beauty are immoral people; and this immorality does not make them attractive at all. This is a great flaw.,Oscar Wilde,Dark Academia
The past has only one charm: that of being the past.,Oscar Wilde,Dark Academia
When it came into contact with life it destroyed it and it destroyed it; and so it disappeared.,Oscar Wilde,Dark Academia
Hearts are made to be broken.” - Oscar Wilde,Oscar Wilde,Dark Academia
"And it was inevitable. In every relationship with others, you have to find a way of life. With you, I had to give up either myself or you. There could be no other alternative. From a deep though misplaced affection for you; from a great pity for your defects of character and temperament; from my own proverbial good-nature and my Celtic laziness; from my artistic aversion to vulgar scenes and bad words; from that incapacity to harbour resentment of any kind, so characteristic of me in those days; from disgust at seeing existence made unhappy and ungrateful by what to me, with eyes intent on quite other things, appeared trivial trifles too to deserve more than a moment's reflection or interest: - for all these reasons, simple as they may seem, I always yielded to you.",Oscar Wilde,Dark Academia
"If you want to tell people the truth, make them laugh, otherwise they'll kill you",N/A,Dark Academia
"To influence someone is to bestow one's soul upon them. Such a person no longer possesses his own thoughts. He is no longer consumed by his own passions. His virtues no longer belong to him. Even his sins, if they exist at all, are borrowed from someone else. He becomes an echo of another's melody, an actor in a role not written for him.",Oscar Wilde,Dark Academia
"There are few of us who have just woken up at dawn, either after one of those sleepless nights when we almost dreamed of death, or after a night full of horrors and ghastly joys, when apparitions more terrible than reality itself haunted the chambers of our minds.",Oscar Wilde,Dark Academia
"There were passions in him that sought a terrible outlet for themselves, dreams that made the shadows of their evil real.",Oscar Wilde,Dark Academia
"Most people are other people. Their thoughts are someone else's opinions, their lives a mimicry, their passions a quotation",n/a,Dark Academia
"He is all my art to me now,' said the painter, gravely.",Oscar Wilde,Dark Academia
"You are not jealous of material things, are you? - you who are finer than any of them!",Oscar Wilde,Dark Academia
What we outlive becomes our prison - eventually.,Laura Chouette,Dark Academia
The greatest tragedy of our age is that we are born in a unique way yet feel that we have to die as a perfect copy of the world.,Laura Chouette,Dark Academia
